ISIN,Country Available for Sale
GB00BKSB1K19,United Kingdom;
GB00BKSB1L26,United Kingdom;
GB00BKSB1M33,United Kingdom;
GB00BKTCQ643,United Kingdom;
GB00BKTCQ759,United Kingdom;
GB00BKTDJZ77,United Kingdom;
GB00BKTDK099,United Kingdom;
GB00BKXGGK60,United Kingdom;
GB00BKYRW110,United Kingdom;
GB00BKYRW227,United Kingdom;
GB00BKYRW334,United Kingdom;
GB00BKYRW441,United Kingdom;
GB00BKYRW557,United Kingdom;
GB00BKYRW664,United Kingdom;
GB00BKYRW771,United Kingdom;
GB00BL1FVK72,United Kingdom;
GB00BLCYFW36,United Kingdom;
GB00BLCYFX43,United Kingdom;
GB00BLH39230,United Kingdom;
GB00BLKQKZ93,United Kingdom;
GB00BLKQL237,United Kingdom;
GB00BLKQL906,United Kingdom;
GB00BLSNGB01,United Kingdom;
GB00BMCF8689,United Kingdom;
GB00BMDBB886,United Kingdom;
GB00BMDBBG68,United Kingdom;
GB00BMDBBK05,United Kingdom;
GB00BMDBBL12,United Kingdom;
GB00BMDBBM29,United Kingdom;
GB00BMDZR592,United Kingdom;
GB00BMDZR600,United Kingdom;
GB00BMDZR717,United Kingdom;
GB00BMDZR824,United Kingdom;
GB00BMDZR931,United Kingdom;
GB00BMDZRB59,United Kingdom;
GB00BMX58Y51,United Kingdom;
GB00BMX58Z68,United Kingdom;
GB00BMY8B000,United Kingdom;
GB00BN4NDR39,United Kingdom;
GB00BN7CMW56,United Kingdom;
GB00BN7CMX63,United Kingdom;
GB00BN7CMY70,United Kingdom;
GB00BN7CMZ87,United Kingdom;
GB00BNB7MY89,United Kingdom;
GB00BNB7MZ96,United Kingdom;
GB00BNB7N011,United Kingdom;
GB00BNB7N128,United Kingdom;
GB00BNB7N235,United Kingdom;
GB00BNXGHS27,United Kingdom;
GB00BNY89Y78,United Kingdom;
GB00BPH3DD08,United Kingdom;
GB00BPH3DF22,United Kingdom;
